feature,OR
CHIRP_F3,1.4938378195408322
COUPL_ANGLE_F3,0.6548507996832268
COUPL_MAG_F3,0.9492183596058361
COUPL_OVERLAP_F3,0.4808711782436067
COUPL_PV_F3,1.377308918673972
DENS_F3,0.4644234506605726
DISPERSION_F3,1.320443118880672
DISPERSION_P_F3,0.9914356210273303
DUR_F3,1.097074638220248
FFT_F3,1.5690847005810828
FRQ_F3,1.4157125397308863
FWHM_F3,0.6483479078509484
ISA_M_F3,0.566334675072204
ISA_S_F3,1.0668498805073838
ISA_T_F3,0.6500148392482535
MINS_F3,0.9879359480850887
N_F3,0.4954357825403549
N01_F3,0.5988023433240159
N02_F3,0.561464886755408
NE_F3,0.9879359480850887
NOSC_F3,1.1059951047742134
Q_F3,0.5028932924193869
SYMM_F3,0.8576498300718279
SYMM2_F3,1.1860075669064005
SO_F3,0.819889299697434
SO_AMP_F3,1.0609725886888972
SO_DUR_F3,1.239823030728632
SO_NEG_DUR_F3,1.2344464297351763
SO_P2P_F3,0.94549064801304
SO_POS_DUR_F3,1.156502878438415
SO_RATE_F3,0.6971258742322805
SO_SLOPE_NEG1_F3,1.0680763656032894
SO_SLOPE_NEG2_F3,0.8740644257986404
SO_SLOPE_POS1_F3,0.917304621921654
SO_SLOPE_POS2_F3,1.0313900634250448
SO_TH_NEG_F3,0.9814450432652759
SO_TH_P2P_F3,1.02580474580229
AMP_F4,0.9929752589362754
CHIRP_F4,1.6081112007131186
COUPL_ANGLE_F4,0.6816832889324601
COUPL_MAG_F4,0.9310191742783888
COUPL_OVERLAP_F4,0.5496657439843309
COUPL_PV_F4,1.4519439655219792
DENS_F4,0.5156717931316622
DISPERSION_F4,1.224458678868333
